ABLNTXRO,-99.741564,32.508086
FTWOTXR1120,-97.94182,32.76331
SWTWTX01,-100.378056,32.506389
ADMSTX01,-96.771944,33.174444
DLLSTXTL,-96.780556,32.7975
IRNGTX27,-96.989722,32.814722
KLVLOKR2180,-96.499722,33.856389
ADSNTXAU,-96.770278,32.929167
AGSTGAMT,-81.969444,33.474444
CLMASCTL,-81.028056,34.0075
MNTIGAMA,-83.77605,33.337569
SVNHGABS,-81.098056,32.063056
AHVLNCAT,-82.584722,35.600833
GNVLSCTL,-82.396944,34.857222
JHCYTNAQ,-82.397542,36.365771
AKRNOH25,-81.520833,41.081111
CLEVOH02S10,-81.686944,41.498333
CNTNOHIW,-81.403056,40.766389
MEDNOHLL,-81.815,41.166667
WOTNOHEH,-83.003333,40.116111
YNTWOH02T10,-80.649444,41.103889
ALBQNMMA,-106.649722,35.084444
CURVNMR0400,-104.555417,34.953944
QEMDNMR0400,-108.669418,34.433846
ALBYGAAT,-84.208056,31.605
FTZGGAQ5000,-83.1575,31.703333
ALBYNYSS,-73.758056,42.652222
KSVLNYQ0010,-73.518611,44.525278
PGHKNYFA,-73.921111,41.717778
SYRCNYSU,-76.1475,43.049167
UTICNYEB,-75.191667,43.090833
ALNAPAAC,-78.393056,40.511389
HRBGPAHAW10,-76.884722,40.261944
PITBPADGW10,-79.995556,40.441389
STCGPAFA,-77.901111,40.782222
ALPRGARE,-84.258889,34.0825
DNWDGAAT,-84.330422,33.943061
NRCRGATL,-84.212778,33.937222
ALXNARQ0010,-92.448889,34.601389
LTRKARFR,-92.271944,34.741111
AMBRPAAC,-80.231111,40.586389
AMRLTXDR,-101.838889,35.205278
CLTNOKAT,-98.978333,35.479722
LBCKTXPS,-101.850833,33.584444
TCMCNM02,-103.736389,35.097222
ANCRAKZA,-149.873056,61.231389
PTLDOR62,-122.678056,45.5225
ANHMCA01,-117.916389,33.836389
GRDNCA02,-118.290833,33.873889
MSVJCA11,-117.668056,33.551111
SNANCAAV,-117.883611,33.703889
SNBRCA01,-117.293333,34.102778
APPLWIAG,-88.424444,44.258611
GNBYWIAT,-88.056667,44.539444
WTJTWIAAW01,-88.668056,43.241667
ARTNVACKT20,-77.087222,38.863611
DLWYVA01W10,-78.457778,37.542778
DSVLVADV,-77.356111,39.006389
MSLYVAMO,-77.784444,37.406111
OKTNVAEA,-77.305556,38.8775
PNTGVADF,-77.058056,38.87
WASHDCDTW20,-77.029722,38.898889
WASHDCSWW20,-77.010278,38.883333
ASLDKYAT,-82.661812,38.491573
HNTNWV01,-82.425556,38.3875
WNCHKYAT,-84.201893,37.978075
ASLDORR0010,-122.653056,42.189444
BNDNORAA,-124.382778,43.247778
RDNGCA01,-122.388889,40.582778
ATHNGATC,-83.419722,33.985278
GSVLGAAT,-83.781111,34.271944
ATLBGACA,-84.457778,33.878611
ATLNGANW,-84.457778,33.878611
ATLNGATL,-84.386111,33.755833
CHTGTNMA,-85.307222,35.044722
DLTNGAAT,-84.966667,34.765278
BRHMALMT,-86.812907,33.517252
ESPNGAAT,-84.414444,33.661667
OXFRALR0010,-85.817222,33.611944
RCDLGATL,-83.978056,33.628056
AUSTTXGR,-97.743056,30.271667
PFVLTXAD,-97.619722,30.441389
SNANTXCA,-98.489444,29.43
SNANTXFA,-98.399219,29.511105
BASNWYR0631,-108.048611,44.375556
BLNGMTMA,-108.509167,45.781667
CSPRWYMA,-106.321667,42.850556
BEREVA01W10,-77.523615,38.358928
BFLONYFR,-78.877778,42.882778
ERIEPA01,-80.089167,42.119167
FTERONABSP1,-78.937778,42.905278
ROCHNYXA,-77.616667,43.156389
BFTNOHRS,-83.878056,40.936389
DYTNOH15T10,-84.195833,39.76
TOLDOH21,-83.538333,41.650278
BGCYUT01,-112.015278,41.545556
LUCNUT01,-113.904167,41.348333
OGDNUTAE,-111.97,41.269722
PCTLIDQA,-112.496667,42.857778
SLKCUTMA,-111.888333,40.767778
BGSPNER0011,-102.232778,41.002778
MXWLNER0011,-100.638056,41.095556
PRVYCO01,-104.283611,40.073611
BKFDCA01,-119.019444,35.377222
FRSNCA01,-119.794167,36.739167
MOJVCA02,-118.020833,35.0225
MRCDCAR0010,-120.466667,37.3
SHOKCA02,-118.456944,34.152222
VTVLCAAA,-117.298912,34.530214
BLCSMA02,-71.551944,42.053889
CHSHCT02,-72.92813,41.487297
FRMNMAWA,-71.432222,42.273333
BLGVOHQA,-82.728132,40.651923
MNFDOHXF,-82.521389,40.757222
BLLFOHEA,-83.764444,40.360278
SPFDOHAT,-83.875833,39.888333
HLNAMTMA,-112.040278,46.591111
MLCYMTBJ,-105.829722,46.418333
TSTNMTAA,-111.35,46.0625
BLRSPALL,-77.420833,39.735556
MNRVMDMO,-77.279722,39.3475
BLRSVA01W10,-79.319167,36.681111
LYBGVACHW20,-79.144444,37.415556
BLTMMDCHT10,-76.614167,39.293889
CLMAMD01W10,-76.828889,39.231111
FNBGMDFB,-76.910556,39.521111
SLSPMDSS,-77.029444,38.997222
WLMGDE01,-75.553333,39.739444
BLTNILAT,-88.951389,40.478611
BLTNILKD,-89.013889,40.480833
CHMPILRA,-88.245278,40.113333
PEORILPJ,-89.590833,40.691389
BLTNIN01,-86.532778,39.168889
IPLSINAT,-86.160556,39.775278
MGTWINMS,-86.251389,39.403611
BLTNMNAT,-93.2875,44.8425
MDFDMNAT,-93.296111,44.167499
PLMOMNTO,-93.448056,44.994722
BLYTCA01,-114.588056,33.604722
PHNXAZMA,-112.077222,33.450278
PLSPCAXGW01,-116.528333,33.825833
WNBGAZLL,-112.688333,33.261389
BMTNONXASP1,-79.727778,43.690556
KTNRONAISP1,-80.491111,43.456944
MRHMONBDSP2,-79.342778,43.832222
BNGHNYHY,-75.909167,42.101111
SCTNPA01,-75.649167,41.415556
BNGRMEAA,-68.779444,44.826389
PTLDMEFO,-70.263611,43.655278
BNTVARBB,-94.217778,36.365556
SPFDMOTL,-93.286111,37.208611
BNTVARBK,-94.183611,36.363056
FYVLARIA,-94.200744,35.988857
BOHENYJN,-73.095556,40.778333
GRCYNYGCF20,-73.604722,40.74
HNTNNYSU,-73.350833,40.831944
NWHNCT02,-72.921389,41.309167
BOISIDMA,-116.200278,43.616389
ELGNORR0010,-117.924534,45.568039
JERMIDQA,-114.518611,42.802778
FRTNTNQ5000,-86.699444,35.507222
HNVIAL96,-86.568611,34.748611
MRDNMSQ5000,-88.687778,32.325833
MRDNMSR4001,-88.481959,32.424134
MTGMALMT,-86.308056,32.376111
TSCLALAT,-87.563611,33.208889
BRHMMIBD,-83.193611,42.541389
DTRTMIBA,-83.054167,42.332778
FLNTMICA,-83.696944,43.018611
BRMNINR0010,-86.096944,41.428056
PLANILLL,-88.518611,41.6925
BRPTCT04,-73.196667,41.176111
SMFRCT01,-73.535278,41.053333
WHPLNY02,-73.765278,41.035
BRWDTNAT,-86.788899,36.032786
NSVLTNMT,-86.776389,36.163889
BSMRNDJC,-100.796917,46.836379
